config,label,seed,average_utilization,overall_percent_serviced,total_served,total_value,mean_accepted_booking_delay,mean_offered_booking_delay,overall_balking_rate,total_arrivals,total_booked,total_offered,total_balked,total_no_offer,total_canceled,total_no_show,total_unresolved_booked,class_1_served_rate,class_2_served_rate,access_gap
+noshow,+No-show gap,15,0.9338356164383542,0.7879518072289157,6867,8504.0,10.047986696757334,10.04578313253012,0.033964429145152034,8715,8419,8715,296,0,1067,485,0,0.8386390768006367,0.7188940092165899,0.1197450675840468
+noshow,+No-show gap,16,0.9291780821917782,0.7933979686057249,6874,8465.0,9.611223638746575,9.615535549399816,0.031278855032317636,8664,8393,8664,271,0,991,528,0,0.843855805616411,0.7238539665111172,0.12000183910529383
+noshow,+No-show gap,17,0.9165753424657522,0.7597395307061862,6767,8355.0,11.547886508396063,11.553609520601773,0.03053777927472774,8907,8635,8907,272,0,1237,631,0,0.8207456055630674,0.6750670241286864,0.14567858143438106
+noshow,+No-show gap,18,0.9291780821917777,0.7874712643678161,6851,8464.0,9.640843402037431,9.636091954022989,0.029655172413793104,8700,8442,8700,258,0,1073,518,0,0.8421052631578947,0.7096684313179159,0.13243683183997879
+noshow,+No-show gap,19,0.9315068493150653,0.7948422749251669,6904,8454.0,9.637095819021674,9.631475938291503,0.02797605341929542,8686,8443,8686,243,0,1032,507,0,0.8452897122585731,0.7239756367663345,0.1213140754922386
+noshow,+No-show gap,20,0.9331506849315045,0.7807245231915134,6918,8412.0,10.147945524385985,10.142873264868525,0.030470601512244667,8861,8591,8861,270,0,1155,518,0,0.8299359347699475,0.7123989218328841,0.11753701293706342
+noshow,+No-show gap,21,0.9341095890410936,0.7971637800767174,6858,8501.0,9.409619767302386,9.4090433569685,0.030919446704637917,8603,8337,8603,266,0,996,483,0,0.8405249552594949,0.7361499720201455,0.10437498323934935
+noshow,+No-show gap,22,0.9299999999999973,0.7805099150141643,6888,8463.0,10.740901111761264,10.743342776203965,0.03172804532577904,8825,8545,8825,280,0,1147,510,0,0.8259615384615384,0.7153103448275862,0.11065119363395226
+noshow,+No-show gap,23,0.9339726027397238,0.776268522676246,6915,8505.0,11.185855072463768,11.185675797036371,0.031769196228109566,8908,8625,8908,283,0,1218,492,0,0.819650067294751,0.7154032910709469,0.10424677622380407
+noshow,+No-show gap,24,0.9319178082191756,0.7987539673210298,6795,8465.0,9.11756838905775,9.11896085576584,0.03314917127071823,8507,8225,8507,282,0,931,499,0,0.8494318181818182,0.728974573903325,0.12045724427849325
