comparison,n_paired_seeds,delta_average_utilization,delta_average_utilization_ci_low,delta_average_utilization_ci_high,average_utilization_status,delta_weighted_utilization,delta_weighted_utilization_ci_low,delta_weighted_utilization_ci_high,weighted_utilization_status,background_id,variant
both_flexible_vs_baseline,10,-0.01820547945205464,-0.019643835616438433,-0.016506678082191306,contradicted,0.021930178749272534,0.01631828102803069,0.027669645279803173,supported,BG00011,release
both_flexible_vs_reservation_only,10,-0.002520547945205309,-0.004349315068492901,-0.0008219178082188739,inconclusive,0.0015460923247207381,-0.003625594556856888,0.00742590061049062,inconclusive,BG00011,release
both_flexible_vs_horizon_only,10,-0.01907534246575311,-0.020746746575342163,-0.016979452054793943,contradicted,0.018525174159971437,0.013738121429203514,0.023575691700794016,supported,BG00011,release
both_flexible_vs_baseline,10,0.0023972602739729234,0.0006506849315074728,0.004383561643835636,inconclusive,0.17242430016663518,0.16646485813512693,0.17830435592356067,supported,BG00012,release
both_flexible_vs_reservation_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00012,release
both_flexible_vs_horizon_only,10,0.0023972602739729234,0.0006095890410965741,0.004431678082191843,inconclusive,0.17242430016663518,0.16642284560421425,0.17845557990694044,supported,BG00012,release
both_flexible_vs_baseline,10,-0.0003835616438355727,-0.0015232876712328535,0.0006576712328766975,inconclusive,0.07010077931335602,0.06711488822891164,0.07292215469007371,supported,BG00013,release
both_flexible_vs_reservation_only,10,0.0012767123287670157,-0.00011506849315052774,0.0025699999999997908,inconclusive,0.000648308014847554,-0.0009583822544470304,0.0023122147817024596,inconclusive,BG00013,release
both_flexible_vs_horizon_only,10,-0.0003835616438355727,-0.0015069863013695583,0.000624794520548106,inconclusive,0.07010077931335602,0.0670724201519276,0.07286402105744383,supported,BG00013,release
both_flexible_vs_baseline,10,-0.00028082191780843814,-0.0034864726027402596,0.0029520547945205452,inconclusive,0.0012007662691148168,-0.002643234381674914,0.005069364060443189,inconclusive,BG00014,release
both_flexible_vs_reservation_only,10,-0.00041095890410984824,-0.0035892123287678073,0.0026851027397256856,inconclusive,0.0008543440165744598,-0.0028079841071822877,0.004688236747083943,inconclusive,BG00014,release
both_flexible_vs_horizon_only,10,-0.00028082191780843814,-0.0034109589041101183,0.0028426369863013296,inconclusive,0.0012007662691148168,-0.002563340144407139,0.004855507386375502,inconclusive,BG00014,release
both_flexible_vs_baseline,10,-0.0008602739726025433,-0.003736986301369494,0.002109589041096063,inconclusive,0.0015103469320955298,-0.0012927752220364226,0.004424092338323508,inconclusive,BG00015,release
both_flexible_vs_reservation_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00015,release
both_flexible_vs_horizon_only,10,-0.0008602739726025433,-0.003720684931506891,0.0020824657534248853,inconclusive,0.0015103469320955298,-0.001341344606214366,0.00435324797134963,inconclusive,BG00015,release
both_flexible_vs_baseline,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00016,release
both_flexible_vs_reservation_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00016,release
both_flexible_vs_horizon_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00016,release
both_flexible_vs_baseline,10,0.00340639269406402,-0.001780821917808229,0.009470547945205675,inconclusive,0.002060825071696426,-0.0025186337389259236,0.007567275348473161,inconclusive,BG00017,release
both_flexible_vs_reservation_only,10,0.00340639269406402,-0.0017538812785388468,0.009717579908676038,inconclusive,0.002060825071696426,-0.00250896353260867,0.007659363778868027,inconclusive,BG00017,release
both_flexible_vs_horizon_only,10,0.00340639269406402,-0.0016986301369863233,0.009671461187214769,inconclusive,0.002060825071696426,-0.002389287512593602,0.007346191924256079,inconclusive,BG00017,release
both_flexible_vs_baseline,10,-0.0001095890410959699,-0.003160045662100695,0.0029134703196346708,inconclusive,0.00308598663878733,0.0012285629798723908,0.0052170129879915575,inconclusive,BG00018,release
both_flexible_vs_reservation_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00018,release
both_flexible_vs_horizon_only,10,-0.0001095890410959699,-0.0029956621004567636,0.0029773972602738998,inconclusive,0.00308598663878733,0.0011970772299704797,0.005127785840917751,inconclusive,BG00018,release
both_flexible_vs_baseline,10,0.002871232876712293,0.001649315068493195,0.004109589041095929,inconclusive,0.0038096875090338545,-8.950484419905857e-05,0.0077390504844104015,inconclusive,BG00019,release
both_flexible_vs_reservation_only,10,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,inconclusive,BG00019,release
both_flexible_vs_horizon_only,10,0.0031232876712327107,0.0006135616438355132,0.005567260273972409,inconclusive,0.0034980728630624623,-0.000987022744204042,0.008211678037042303,inconclusive,BG00019,release
both_flexible_vs_baseline,10,-6.164383561638732e-05,-0.00018493150684916192,0.0,inconclusive,0.000374925613617727,0.0,0.001124776840853181,inconclusive,BG00020,release
both_flexible_vs_reservation_only,10,6.164383561644283e-05,0.0,0.00018493150684932845,inconclusive,9.312303287897227e-05,0.0,0.00027936909863691685,inconclusive,BG00020,release
both_flexible_vs_horizon_only,10,-6.164383561638732e-05,-0.00018493150684916192,0.0,inconclusive,0.000374925613617727,0.0,0.001124776840853181,inconclusive,BG00020,release
