class1_low_balk,class_id,mean,std,n,se,ci95,metric
0.05,2,0.35213309728338316,0.003993769394895304,100,0.00039937693948953045,0.0007827788013994797,balking_rate
0.1,1,0.37814138724360363,0.0036914209426331464,100,0.00036914209426331464,0.0007235185047560967,balking_rate
0.1,2,0.34818466945097204,0.0034136366723089423,100,0.00034136366723089425,0.0006690727877725528,balking_rate
0.15,1,0.3898869103147534,0.003264017380063946,100,0.00032640173800639464,0.0006397474064925335,balking_rate
0.15,2,0.3433379374966791,0.003930997748973196,100,0.00039309977489731965,0.0007704755587987465,balking_rate
0.2,1,0.4030882789800452,0.003590555869159714,100,0.0003590555869159714,0.0007037489503553039,balking_rate
0.2,2,0.338222048509806,0.0038956640854780405,100,0.00038956640854780403,0.0007635501607536959,balking_rate
0.25,1,0.4156489457229733,0.0034933466307137027,100,0.00034933466307137024,0.0006846959396198856,balking_rate
0.25,2,0.3322263525814045,0.003813234982025991,100,0.0003813234982025991,0.0007473940564770942,balking_rate
0.3,1,0.43033597863218154,0.0037477085946147947,100,0.0003747708594614795,0.0007345508845444998,balking_rate
0.3,2,0.32565720747808014,0.0037047627044794833,100,0.00037047627044794833,0.0007261334900779787,balking_rate
0.35,1,0.4451114165582731,0.00347001778239932,100,0.000347001778239932,0.0006801234853502667,balking_rate
0.35,2,0.3178977773378321,0.004491622257326301,100,0.0004491622257326301,0.000880357962435955,balking_rate
0.4,1,0.46190215734496776,0.0033281254713676844,100,0.00033281254713676844,0.0006523125923880662,balking_rate
0.4,2,0.30837360554244864,0.0048876978223528315,100,0.0004887697822352832,0.000957988773181155,balking_rate
0.45,1,0.4790906801288027,0.0035758494905799424,100,0.00035758494905799423,0.0007008665001536687,balking_rate
0.45,2,0.2965754034479804,0.004823770361326043,100,0.00048237703613260427,0.0009454589908199044,balking_rate
0.5,1,0.4998068218854514,0.004170706592654852,100,0.0004170706592654852,0.000817458492160351,balking_rate
0.5,2,0.28314661415396314,0.006034604477053076,100,0.0006034604477053076,0.001182782477502403,balking_rate
0.0,1,18275.24,140.97360738733312,100,14.097360738733311,27.63082704791729,arrivals
0.0,2,18246.4,130.17734600974725,100,13.017734600974725,25.51475981791046,arrivals
0.05,1,18234.88,134.19586770497418,100,13.419586770497418,26.302390070174937,arrivals
0.05,2,18244.75,128.90685502612843,100,12.890685502612843,25.26574358512117,arrivals
0.1,1,18261.32,146.91823328888503,100,14.691823328888503,28.795973724621465,arrivals
0.1,2,18274.59,118.74844773041794,100,11.874844773041794,23.274695755161915,arrivals
0.15,1,18266.96,139.49982223659111,100,13.949982223659111,27.341965158371856,arrivals
