class1_balk_threshold,seed,class_id,arrivals,booked,balked,offered,no_offer,canceled,no_show,served,mean_accepted_booking_delay,mean_offered_booking_delay,percent_serviced,slot_utilization,balking_rate,total_booking_delay,total_offered_booking_delay
3,47,1,18312,10086,8226,18312,0,4874,828,4384,7.966983938132064,8.59185233726518,0.23940585408475318,0.37534246575342467,0.449213630406291,80355.0,157334.0
3,47,2,18347,12635,5712,18347,0,6183,945,5507,7.730114760585675,8.574753365672862,0.300158063988663,0.47148972602739725,0.31133155284242653,97670.0,157321.0
3,48,1,18100,9855,8245,18100,0,4702,815,4338,7.851851851851852,8.47585635359116,0.23966850828729283,0.3714041095890411,0.45552486187845304,77380.0,153413.0
3,48,2,18110,12473,5637,18110,0,5951,1049,5472,7.73719233544456,8.528823854224186,0.3021535063500828,0.4684931506849315,0.3112644947542794,96506.0,154457.0
3,49,1,18320,10030,8290,18320,0,4909,854,4265,7.887637088733799,8.480458515283843,0.2328056768558952,0.3651541095890411,0.45251091703056767,79113.0,155362.0
3,49,2,18330,12538,5792,18330,0,5982,1062,5493,7.710958685595789,8.532460447354064,0.2996726677577741,0.47029109589041096,0.3159847244953628,96680.0,156400.0
3,50,1,18104,9957,8147,18104,0,4907,867,4181,8.024304509390378,8.581197525408749,0.23094343791427308,0.3579623287671233,0.4500110472823685,79898.0,155354.0
3,50,2,18377,12703,5674,18377,0,6077,976,5649,7.735101944422578,8.56309517331447,0.3073951134570387,0.4836472602739726,0.3087555096043968,98259.0,157364.0
3,51,1,18142,10117,8025,18142,0,4909,879,4325,8.082435504596225,8.63118730018741,0.23839708962628156,0.370291095890411,0.4423437327747768,81770.0,156587.0
3,51,2,18280,12496,5784,18280,0,6018,990,5485,7.783450704225352,8.637035010940918,0.300054704595186,0.4696061643835616,0.3164113785557987,97262.0,157885.0
3,52,1,18130,9814,8316,18130,0,4731,850,4231,7.936417362950887,8.53684500827358,0.23337010479867623,0.3622431506849315,0.4586872586872587,77888.0,154773.0
3,52,2,18283,12641,5642,18283,0,6036,1054,5551,7.702396962265643,8.518678553847836,0.3036153804080293,0.4752568493150685,0.30859268172619375,97366.0,155747.0
3,53,1,18423,10078,8345,18423,0,4955,879,4237,8.167096646159953,8.707376648754275,0.22998425880692613,0.3627568493150685,0.4529664006947837,82308.0,160416.0
3,53,2,18247,12531,5716,18247,0,5976,1012,5541,7.79195594924587,8.64207814983285,0.3036663561133337,0.47440068493150683,0.31325697374910944,97641.0,157692.0
3,54,1,18328,9983,8345,18328,0,4881,834,4268,8.099469097465692,8.698548668703623,0.23286774334351812,0.3654109589041096,0.4553142732431253,80857.0,159427.0
3,54,2,18472,12617,5855,18472,0,6041,1010,5566,7.807164936197195,8.660242529233434,0.30132091814638373,0.47654109589041094,0.3169662191424859,98503.0,159972.0
3,55,1,18440,10136,8304,18440,0,5022,810,4302,8.03078137332281,8.646095444685466,0.23329718004338396,0.36832191780821916,0.4503253796095445,81400.0,159434.0
3,55,2,18325,12507,5818,18325,0,5960,1045,5500,7.783960981850164,8.62963165075034,0.30013642564802184,0.4708904109589041,0.31748976807639834,97354.0,158138.0
3,56,1,18110,9880,8230,18110,0,4830,801,4248,7.858400809716599,8.433186085035892,0.2345665378244064,0.3636986301369863,0.45444505797901713,77641.0,152725.0
3,56,2,18037,12471,5566,18037,0,5856,1038,5577,7.582070403335739,8.394744137051616,0.30919776015967176,0.47748287671232875,0.3085879026445639,94556.0,151416.0
3,57,1,18528,10280,8248,18528,0,5078,862,4339,8.016050583657588,8.58306347150259,0.23418609671848015,0.37148972602739727,0.44516407599309155,82405.0,159027.0
